time,q0,q1,q2,dq0,dq1,dq2,tau0,tau1,tau2
1722873643.56852,0.121511102,0.832918942,-1.005628109,0.256559676,-0.223230171,0.058233958,1.321024275,0.489817983,0.142245114
1722873643.57053,0.122025788,0.832434475,-1.005485892,0.223230171,-0.206177866,0.054998738,1.271547723,0.465079701,0.180177152
1722873643.5725,0.122237742,0.831556439,-1.00535953,0.172073257,-0.223230171,0.065108801,1.251757073,0.484870327,0.21810919
1722873643.57453,0.122479975,0.831071973,-1.005264759,0.151920533,-0.223230171,0.075218864,1.25175705,0.524451578,0.23707521
1722873643.57655,0.122782767,0.830617845,-1.005154252,0.165097314,-0.219354653,0.068748423,1.281443,0.544242203,0.199143171
1722873643.57854,0.12305522,0.830224216,-1.005043626,0.174398571,-0.19765172,0.064299995,1.261652398,0.494765639,0.161211133
1722873643.58092,0.123297453,0.829860926,-1.004948854,0.173623466,-0.213153818,0.054189933,1.261652398,0.573928142,0.180177152
1722873643.58265,0.123569965,0.829406738,-1.004838228,0.168972838,-0.226330602,0.050550312,1.301233625,0.559085172,0.21810919
1722873643.58454,0.123872757,0.828831434,-1.004727721,0.185250038,-0.244158009,0.049337103,1.35565784,0.514556265,0.199143171
1722873643.58655,0.12414521,0.828377306,-1.004617095,0.171298152,-0.230981222,0.050954711,1.330919552,0.494765639,0.199143171
1722873643.58864,0.124387443,0.828074515,-1.004506588,0.143394381,-0.217029339,0.052167919,1.306181288,0.47992267,0.21810919
1722873643.59058,0.124659956,0.82749927,-1.004395962,0.120916343,-0.213153821,0.054998737,1.301233649,0.430446106,0.21810919
1722873643.59251,0.125023305,0.827075362,-1.00430119,0.138743752,-0.220129761,0.046101883,1.330919576,0.415603137,0.180177152
1722873643.59454,0.125204921,0.826712012,-1.004174829,0.14494459,-0.232531431,0.054189934,1.350710177,0.42549845,0.123279101
1722873643.59651,0.125447154,0.826379001,-1.004095793,0.158121371,-0.210828495,0.064299996,1.291338301,0.445289075,0.123279101
1722873643.59883,0.125810504,0.82607621,-1.003953695,0.1464948,-0.172073257,0.059447166,1.261652374,0.445289075,0.170694146
1722873643.60056,0.126052737,0.825773418,-1.00390625,0.154245847,-0.151145428,0.037609432,1.276495361,0.455184388,0.21810919
1722873643.6026,0.126204073,0.825016499,-1.003827214,0.164322209,-0.171298152,0.025072955,1.306181312,0.494765639,0.256041217
1722873643.60475,0.126416028,0.824653149,-1.003764033,0.158896476,-0.179824305,0.016580502,1.350710225,0.499713296,0.293973243
1722873643.60654,0.126658261,0.824289858,-1.003700852,0.155796057,-0.203852552,0.0161761,1.3408149,0.514556265,0.246558201
1722873643.60855,0.126839936,0.823896229,-1.003637671,0.141844171,-0.213153815,0.02426415,1.321024275,0.529399234,0.180177146
1722873643.61055,0.127082169,0.823532939,-1.003606081,0.14494459,-0.204627663,0.01294088,1.335867238,0.494765639,0.180177152
1722873643.61252,0.127324343,0.823048472,-1.0035429,0.135643333,-0.221679965,0.007279245,1.3408149,0.415603137,0.237075198
1722873643.61498,0.127717972,0.822321773,-1.003479719,0.137968647,-0.220129752,0,1.350710201,0.395812511,0.256041217
1722873643.61713,0.127899647,0.821988761,-1.003416538,0.123241657,-0.228655905,0.010514465,1.340814877,0.405707824,0.27500723
1722873643.61875,0.127899647,0.821988761,-1.003416538,0.121691447,-0.216254228,0.012536477,1.350710177,0.42549845,0.28449024
1722873643.62067,0.128323555,0.821262121,-1.003337502,0.117815924,-0.220129752,0.019006917,1.360605502,0.390864855,0.237075198
1722873643.6228,0.128596008,0.820807934,-1.003290176,0.142619276,-0.217029339,0.017389307,1.3408149,0.430446106,0.218109179
1722873643.62488,0.128747404,0.820444584,-1.003290176,0.158896476,-0.234856749,0.004448428,1.360605526,0.524451578,0.256041205
